Cueanexo,Departamento,Localidad,Latitud,Longitud
180115600,BELLA VISTA,BELLA VISTA,-28.51072514,-59.04469301
180067200,BELLA VISTA,BELLA VISTA,-28.51642808,-59.03964828
180115700,BELLA VISTA,BELLA VISTA,-28.50935624,-59.04231506
180149900,BELLA VISTA,BELLA VISTA,-28.51537015,-59.04184279
180067400,BELLA VISTA,BELLA VISTA,-28.51213596,-59.02867213
180108700,BELLA VISTA,BELLA VISTA,-28.50786103,-59.04666257
180144802,BELLA VISTA,CEBOLLAS,-28.5205905,-58.7688175
180144800,BELLA VISTA,COLONIA 3 DE ABRIL,-28.4123468,-58.9163659
180165300,BELLA VISTA,COLONIA PROGRESO,-28.6595014,-58.9489198
180165301,BELLA VISTA,DESMOCHADO,-28.7596235,-58.988433
180144801,BELLA VISTA,RAICES NORTE,-28.3534992,-58.8748763
180068400,BERON DE ASTRADA,BERON DE ASTRADA,-27.55448709,-57.53122049
180169400,BERON DE ASTRADA,YAHAPE,-27.37139548,-57.66356975
180111400,CAPITAL,CORRIENTES,-27.46242325,-58.84162854
180116300,CAPITAL,CORRIENTES,-27.46240865,-58.84147594
180044100,CAPITAL,CORRIENTES,-27.4902009,-58.80494004
180042600,CAPITAL,CORRIENTES,-27.47220365,-58.82654652
180147300,CAPITAL,CORRIENTES,-27.50759374,-58.82535882
180117300,CAPITAL,CORRIENTES,-27.46427897,-58.83719166
180147201,CAPITAL,CORRIENTES,-27.45794175,-58.765974
180179900,CAPITAL,CORRIENTES,-27.47456259,-58.79945071
180152100,CAPITAL,CORRIENTES,-27.46907889,-58.83780112
180011700,CAPITAL,CORRIENTES,-27.46634901,-58.83164504
180149800,CAPITAL,CORRIENTES,-27.46800992,-58.79783327
180155900,CAPITAL,CORRIENTES,-27.4837424,-58.84578687
180044000,CAPITAL,CORRIENTES,-27.46004208,-58.82265136
180111000,CAPITAL,CORRIENTES,-27.4627302,-58.83818048
180075200,CAPITAL,CORRIENTES,-27.47583999,-58.84472867
180113901,CAPITAL,CORRIENTES,-27.50444362,-58.7849446
180041400,CAPITAL,CORRIENTES,-27.46409148,-58.8125694
180162400,CAPITAL,CORRIENTES,-27.49219498,-58.78259039
180147200,CAPITAL,CORRIENTES,-27.44863318,-58.78085135
180050400,CAPITAL,CORRIENTES,-27.46813629,-58.84007724
180082000,CAPITAL,CORRIENTES,-27.48349276,-58.82813744
180155800,CAPITAL,CORRIENTES,-27.46867733,-58.78864634
180009600,CAPITAL,CORRIENTES,-27.47122419,-58.83132969
180063300,CAPITAL,CORRIENTES,-27.48397249,-58.81525297
180123300,CAPITAL,CORRIENTES,-27.48469435,-58.8139393
180176700,CAPITAL,CORRIENTES,-27.4712257,-58.8395844
180012500,CAPITAL,CORRIENTES,-27.48101286,-58.83016412
180135200,CAPITAL,CORRIENTES,-27.49121657,-58.78791037
180176300,CAPITAL,CORRIENTES,-27.4712257,-58.8395844
180135900,CAPITAL,CORRIENTES,-27.49621243,-58.81343762
180152300,CAPITAL,CORRIENTES,-27.46235085,-58.83718064
180081700,CAPITAL,CORRIENTES,-27.49647936,-58.8344447
180148100,CAPITAL,CORRIENTES,-27.46963416,-58.84009708
180113900,CAPITAL,CORRIENTES,-27.47192205,-58.82015573
180116400,CAPITAL,CORRIENTES,-27.46386373,-58.84228075
180155000,CAPITAL,CORRIENTES,-27.48403738,-58.7908634
180152800,CAPITAL,CORRIENTES,-27.49384493,-58.71565868
180164600,CAPITAL,CORRIENTES,-27.50444362,-58.7849446
180041700,CAPITAL,CORRIENTES,-27.4574774,-58.81885879
180111200,CAPITAL,CORRIENTES,-27.46815225,-58.85189395
180014000,CAPITAL,CORRIENTES,-27.48301255,-58.82661546
180148000,CAPITAL,CORRIENTES,-27.5237359,-58.78876347
180125800,CAPITAL,CORRIENTES,-27.49000758,-58.78895654
